Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8.996350999999999,9.166764,9.345868,9.533954,9.731361,9.938414,10.152331,10.372630000000001,10.604346000000001,10.854428,11.126123,11.417825,11.72194,12.027822,12.321541,12.590286,12.840299,13.067538,13.237734,13.306695000000001,13.248370000000001,13.053954,12.749645,12.389269,12.047115,11.78305,11.601041,11.502761,11.540888,11.777609,12.249114,12.993657,13.981231,15.095099,16.172719,17.099541000000002,17.822884,18.381605,18.863999,19.403676,20.093756,20.966463,21.979923,23.064851,24.118979,25.070798,25.89345,26.616791999999997,27.294031,28.004331,28.803167,29.708599,30.696958000000002,31.731688000000002,32.75802,33.736494,34.656032,36.861964218280036,38.51270657206965,40.45958925885206,42.878944007857946,45.99187601521695,49.852121419223124,54.302351256658156,58.91738044702055,63.39146578860465
Angola,AGO,"Population, total",SP.POP.TOTL,5.643182,5.753024,5.866061,5.980417,6.0933209999999995,6.2032989999999995,6.309769999999999,6.414994999999999,6.523791,6.642632000000001,6.776381,6.927269,7.094834,7.27796,7.474338,7.682478999999999,7.900997,8.130988,8.376147,8.641521000000001,8.9299,9.244507,9.582156,9.931562,10.277321,10.609042,10.921037,11.218268,11.513967999999998,11.827237,12.171441,12.553446000000001,12.968345,13.403734,13.841301000000001,14.268994000000001,14.682284,15.088981,15.504318,15.949766,16.440924,16.983266,17.572649,18.203369,18.865716,19.552542000000003,20.262399,20.997687,21.759420000000002,22.549547,23.369131,24.218564999999998,25.09615,25.99834,26.920465999999998,27.859305,28.813463,29.054633950598955,29.599337729504985,30.137434346832862,30.715928826256924,31.37628605355901,32.149142308940164,32.978496581967775,33.805865101598265,34.572462051838784
Albania,ALB,"Population, total",SP.POP.TOTL,1.6088,1.6598,1.7113189999999998,1.762621,1.8141349999999998,1.864791,1.9145729999999999,1.965598,2.022272,2.081695,2.135479,2.187853,2.2431259999999997,2.296752,2.350124,2.404831,2.458526,2.513546,2.566266,2.617832,2.671997,2.7260560000000003,2.784278,2.84396,2.904429,2.964762,3.0226349999999997,3.083605,3.1423360000000002,3.2279430000000002,3.286542,3.2667900000000003,3.247039,3.227287,3.207536,3.187784,3.1680330000000003,3.1482810000000003,3.12853,3.108778,3.089027,3.060173,3.0510099999999998,3.039616,3.026939,3.011487,2.992547,2.970017,2.947314,2.9275189999999998,2.913021,2.905195,2.900401,2.895092,2.889104,2.880703,2.876101,2.6749534487904767,2.778895350516837,2.843752872639871,2.8285014977864713,2.7107054667972768,2.6383117847407944,2.577987300010441,2.5179238714372474,2.3272470030259416
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,0.09263400000000001,0.101078,0.112472,0.125566,0.13852899999999999,0.150362,0.16048099999999998,0.170283,0.183194,0.20382,0.23549899999999999,0.278808,0.33276,0.39717399999999997,0.471364,0.5543239999999999,0.646943,0.748117,0.8522620000000001,0.95204,1.042384,1.1209,1.189545,1.25306,1.318478,1.391052,1.472218,1.560718,1.6558490000000001,1.756043,1.8601740000000002,1.9700259999999998,2.086639,2.207405,2.3286860000000003,2.44882,2.57102,2.70001,2.838145,2.988162,3.154925,3.326032,3.507232,3.741932,4.087931,4.579562,5.242032,6.044067,6.894278,7.666392999999999,8.270684,8.672475,8.900453,9.006263,9.070867,9.154302000000001,9.269612,8.22027412360074,7.786720064998819,7.302853517690112,6.72309769622329,6.041920966207068,5.369453678709953,4.681208309785737,3.93008907647572,3.1385272730545624
Argentina,ARG,"Population, total",SP.POP.TOTL,20.619075,20.953077,21.287682,21.62184,21.953929000000002,22.28339,22.608748000000002,22.932203,23.261278,23.605987,23.973057999999998,24.366439,24.782949,25.213388000000002,25.644506,26.066975,26.477152,26.878565000000002,27.277741,27.684534000000003,28.105888,28.543364,28.993987,29.454738,29.920903999999997,30.388783,30.857244,31.326472999999996,31.795516999999997,32.263560999999996,32.729739,33.193918,33.655151000000004,34.110917,34.558115,34.994814,35.419682,35.833969,36.24159,36.648068,37.057452000000005,37.471509000000005,37.88937,38.309379,38.728696,39.145488,39.558890000000005,39.970224,40.382389,40.799407,41.223889,41.656878999999996,42.096739,42.539925,42.981515,43.417765,43.847429999999996,44.32080784448745,44.75683991475616,45.21968396547421,45.71992277788429,46.25640899772088,46.85556466346528,47.50879133631796,48.21601026308184,48.98565227614106
Armenia,ARM,"Population, total",SP.POP.TOTL,1.87412,1.941491,2.0095259999999997,2.077575,2.1449979999999997,2.211316,2.276031,2.339124,2.4011400000000003,2.462925,2.525065,2.5877060000000003,2.650484,2.712781,2.773747,2.832757,2.889579,2.944379,2.997411,3.049105,3.099751,3.1480919999999997,3.193686,3.238594,3.285595,3.3359349999999997,3.3922559999999997,3.451942,3.5046510000000004,3.5364690000000003,3.5381650000000002,3.5052510000000003,3.4428099999999997,3.3630980000000004,3.28366,3.217342,3.168215,3.133086,3.1086840000000002,3.0890169999999997,3.069588,3.050655,3.033897,3.017806,3.000612,2.981259,2.9585,2.933056,2.90822,2.888584,2.877311,2.875581,2.8819220000000003,2.893509,2.9062200000000002,2.91695,2.924816,3.436456692789576,3.7381376049362887,4.051079911720927,4.343825938150465,4.584993320743007,4.7562476994018414,4.890696779835442,5.024292384754607,5.187997577814959
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,0.055339,0.056144000000000006,0.05714400000000001,0.058294000000000006,0.059524,0.060780999999999995,0.062059,0.06336,0.06465499999999999,0.06591,0.067098,0.068188,0.069176,0.070066,0.070878,0.071609,0.072285,0.072875,0.073324,0.073528,0.073442,0.07306599999999999,0.072448,0.071639,0.070725,0.06978200000000001,0.06880900000000001,0.067845,0.067058,0.06662699999999999,0.066696,0.067307,0.068427,0.069938,0.071719,0.073619,0.075628,0.077739,0.079851,0.081831,0.083584,0.08505700000000001,0.086266,0.087293,0.088257,0.089253,0.09030099999999999,0.09138099999999999,0.09247799999999999,0.093581,0.094661,0.095719,0.096777,0.097824,0.098875,0.099923,0.100963,0.09904535663600265,0.09802359788782619,0.09681559093647304,0.09564896268992294,0.09477886305295842,0.09429859254466637,0.09406795624498461,0.09404196640967014,0.09401455068391174
Australia,AUS,"Population, total",SP.POP.TOTL,10.276477,10.482999999999999,10.742,10.95,11.167,11.388,11.651,11.799000000000001,12.009,12.263,12.507,12.937000000000001,13.177,13.38,13.722999999999999,13.892999999999999,14.033,14.192,14.357999999999999,14.514000000000001,14.692,14.927,15.177999999999999,15.369000000000002,15.544,15.758,16.0184,16.2639,16.5322,16.8144,17.0651,17.284000000000002,17.495,17.667,17.855,18.072,18.311,18.517,18.711,18.926,19.153,19.413,19.6514,19.8954,20.1274,20.3948,20.6979,20.8276,21.2492,21.6917,22.03175,22.340024,22.728254,23.117353,23.460694,23.789338,24.127159,26.870890608915957,28.35124275692657,29.539681268595736,31.24711856845039,33.45075433193858,34.51127310509884,36.17536101291128,38.76354789367093,40.19307405790581
Austria,AUT,"Population, total",SP.POP.TOTL,7.0475389999999996,7.086299,7.1298639999999995,7.175811,7.223801,7.270889,7.322066,7.3769979999999995,7.4154029999999995,7.441055,7.467086,7.500482000000001,7.544200999999999,7.5861149999999995,7.599038,7.5789029999999995,7.565525,7.56843,7.562305,7.549425,7.5494330000000005,7.56871,7.574139999999999,7.561910000000001,7.561433999999999,7.564985000000001,7.569794,7.574586,7.585317,7.619567,7.67785,7.754891000000001,7.8407089999999995,7.905633,7.936118,7.948278,7.959017,7.968041,7.976789,7.992324000000001,8.011566,8.042292999999999,8.081957000000001,8.121423,8.171966000000001,8.227829,8.268641,8.295487,8.321496,8.343323,8.363404,8.391643,8.429991000000001,8.479375,8.541575,8.633169,8.747358,8.481616565832201,8.534016974140897,8.665596730593265,8.945264602704029,9.283512153435474,9.656194490020694,10.15352220396807,10.607457784386034,11.041026463835811
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3.895396,4.03032,4.171425,4.315128,4.456689,4.59261,4.721525,4.84387,4.960235,5.07193,5.180025,5.284532,5.385267,5.483084,5.579077,5.674137,5.768724,5.863134,5.957929,6.0536449999999995,6.150738,6.24932,6.349558,6.452076,6.557585,6.666455,6.778633,6.8935,7.010036,7.1268910000000005,7.159,7.271,7.382000000000001,7.495,7.597,7.685,7.763,7.83825,7.912999999999999,7.98275,8.0486,8.1112,8.17195,8.2341,8.3065,8.39185,8.48455,8.5813,8.7634,8.947242999999999,9.054332,9.173082,9.295784,9.416801,9.535079,9.649341,9.762274,10.589471897389135,10.847901691877015,11.11485930406231,11.374283746733008,11.86466613223624,12.21803072349459,12.726539240336054,13.245590222690161,13.61965514550635
